ulanID,nationality,gender,estStart,estEnd,birthPlace,deathPlace
http://vocab.getty.edu/ulan/500000004,British (modern),male,1835,1892,Swaffham,
http://vocab.getty.edu/ulan/500000005,Italian (culture or style),male,1632,1698,,
http://vocab.getty.edu/ulan/500000006,Swiss,male,1889,1954,Basel,Ticino
http://vocab.getty.edu/ulan/500000010,French (culture or style),male,1760,1833,,
http://vocab.getty.edu/ulan/500000011,British (modern),male,1870,1937,London,London
http://vocab.getty.edu/ulan/500000013,British (modern),male,1888,1961,Stalybridge,
http://vocab.getty.edu/ulan/500000016,French (culture or style),male,1671,1723,,
http://vocab.getty.edu/ulan/500000017,French (culture or style),male,1699,1749,,
http://vocab.getty.edu/ulan/500000018,Italian (culture or style),male,1851,1923,,
http://vocab.getty.edu/ulan/500000019,Italian (culture or style),male,1420,1520,,
http://vocab.getty.edu/ulan/500000021,Spanish (culture or style),male,1538,1608,,
http://vocab.getty.edu/ulan/500000022,"German (culture, style, period)",unidentified,1812,1892,,
http://vocab.getty.edu/ulan/500000023,"German (culture, style, period)",male,1827,1905,,
http://vocab.getty.edu/ulan/500000025,British (modern),male,1835,1897,Prussia,Edinburgh
http://vocab.getty.edu/ulan/500000026,American (North American),male,1858,1916,Syracuse,New York
http://vocab.getty.edu/ulan/500000028,Italian (culture or style),male,1450,1527,,
http://vocab.getty.edu/ulan/500000029,American (North American),male,1874,1954,England,
http://vocab.getty.edu/ulan/500000030,Italian (culture or style),male,1501,1547,,
http://vocab.getty.edu/ulan/500000033,French (culture or style),male,1898,1993,,Paris
http://vocab.getty.edu/ulan/500000034,"German (culture, style, period)",male,1875,1943,Berlin (Berlin state),
http://vocab.getty.edu/ulan/500000036,French (culture or style),male,1618,1682,Paris,Paris
http://vocab.getty.edu/ulan/500000040,Dutch (culture or style),male,1649,1711,,Berlin (Berlin state)
http://vocab.getty.edu/ulan/500000042,Italian (culture or style),male,0040,0140,,
http://vocab.getty.edu/ulan/500000043,Flemish (culture or style),male,1665,1735,,
http://vocab.getty.edu/ulan/500000044,Russian (culture or style),male,1777,1832,,
http://vocab.getty.edu/ulan/500000045,Italian (culture or style),male,1658,1736,,
http://vocab.getty.edu/ulan/500000046,Russian (culture or style),male,1877,1954,,
http://vocab.getty.edu/ulan/500000050,Dutch (culture or style),male,1689,1750,Groningen,Groningen
http://vocab.getty.edu/ulan/500000051,British (modern),male,1774,1868,,
http://vocab.getty.edu/ulan/500000055,Dutch (culture or style),male,1598,1657,,Amsterdam
http://vocab.getty.edu/ulan/500000058,"German (culture, style, period)",male,1503,1585,,
http://vocab.getty.edu/ulan/500000060,Italian (culture or style),male,1280,1380,,
http://vocab.getty.edu/ulan/500000061,Flemish (culture or style),male,1591,1671,,
http://vocab.getty.edu/ulan/500000064,French (culture or style),male,1795,1875,Paris,Paris
http://vocab.getty.edu/ulan/500000067,American (North American),male,1871,1946,,
http://vocab.getty.edu/ulan/500000068,American (North American),male,1916,1991,Berkeley,
http://vocab.getty.edu/ulan/500000071,French (culture or style),male,1520,1604,Paris,Paris
http://vocab.getty.edu/ulan/500000075,American (North American),male,1897,1979,,New York
http://vocab.getty.edu/ulan/500000076,"German (culture, style, period)",male,1854,1908,,
http://vocab.getty.edu/ulan/500000078,Italian (culture or style),male,1688,1782,,
http://vocab.getty.edu/ulan/500000079,"German (culture, style, period)",male,1934,2020,,
http://vocab.getty.edu/ulan/500000080,American (North American),male,1846,1933,,Washington
http://vocab.getty.edu/ulan/500000089,Italian (culture or style),male,1526,1601,,
http://vocab.getty.edu/ulan/500000090,British (modern),male,1846,1930,London,London
http://vocab.getty.edu/ulan/500000093,British (modern),male,1804,1872,London,
http://vocab.getty.edu/ulan/500000095,British (modern),male,1788,1875,,
http://vocab.getty.edu/ulan/500000096,"German (culture, style, period)",male,1888,1962,Berlin (Berlin state),
http://vocab.getty.edu/ulan/500000098,British (modern),male,1580,1619,London,London
http://vocab.getty.edu/ulan/500000099,"German (culture, style, period)",male,1864,1932,,
http://vocab.getty.edu/ulan/500000100,Dutch (culture or style),male,1627,1703,,
http://vocab.getty.edu/ulan/500000108,Italian (culture or style),male,1373,1412,,
http://vocab.getty.edu/ulan/500000109,Dutch (culture or style),male,1865,1934,Amsterdam,
http://vocab.getty.edu/ulan/500000110,British (modern),male,1876,1953,Scotland,Oxford
http://vocab.getty.edu/ulan/500000112,Italian (culture or style),male,1754,1831,,
http://vocab.getty.edu/ulan/500000113,Flemish (culture or style),male,1638,1714,,
http://vocab.getty.edu/ulan/500000114,Italian (culture or style),male,1455,1537,,
http://vocab.getty.edu/ulan/500000117,Italian (culture or style),male,1615,1664,Bologna,
http://vocab.getty.edu/ulan/500000118,Italian (culture or style),male,1723,1806,,
http://vocab.getty.edu/ulan/500000119,French (culture or style),male,1725,1805,,Paris
http://vocab.getty.edu/ulan/500000121,"German (culture, style, period)",male,1839,1930,,
http://vocab.getty.edu/ulan/500000128,British (modern),male,1852,1944,London,Newbury
http://vocab.getty.edu/ulan/500000132,Italian (culture or style),male,1678,1741,,
http://vocab.getty.edu/ulan/500000133,Dutch (culture or style),male,1584,1644,,
http://vocab.getty.edu/ulan/500000135,French (culture or style),male,1710,1761,,
http://vocab.getty.edu/ulan/500000136,Italian (culture or style),male,1330,1399,,
http://vocab.getty.edu/ulan/500000137,British (modern),male,1832,1900,,
http://vocab.getty.edu/ulan/500000139,Dutch (culture or style),male,1645,1705,Rotterdam,Amsterdam
http://vocab.getty.edu/ulan/500000149,British (modern),male,1866,1945,Dundee,Edinburgh
http://vocab.getty.edu/ulan/500000151,Ancient Greek (culture or style),unidentified,-0515,-0420,,
http://vocab.getty.edu/ulan/500000157,Flemish (culture or style),male,1615,1687,,
http://vocab.getty.edu/ulan/500000160,Italian (culture or style),male,1522,1595,,
http://vocab.getty.edu/ulan/500000162,American (North American),male,1779,1856,,
http://vocab.getty.edu/ulan/500000163,Italian (culture or style),male,1589,1657,,
http://vocab.getty.edu/ulan/500000169,"German (culture, style, period)",male,1666,1738,,
http://vocab.getty.edu/ulan/500000177,Canadian,male,1825,1905,,
http://vocab.getty.edu/ulan/500000180,American (North American),male,1792,1834,New York,New York
http://vocab.getty.edu/ulan/500000181,Italian (culture or style),male,1423,1473,,
http://vocab.getty.edu/ulan/500000182,French (culture or style),male,1740,1814,,
http://vocab.getty.edu/ulan/500000183,British (modern),male,1831,1863,Southampton,London
http://vocab.getty.edu/ulan/500000189,Flemish (culture or style),male,1630,1676,,
http://vocab.getty.edu/ulan/500000190,American (North American),male,1845,1912,,
http://vocab.getty.edu/ulan/500000191,Dutch (culture or style),male,1605,1652,Amsterdam,Amsterdam
http://vocab.getty.edu/ulan/500000195,Italian (culture or style),male,1467,1536,,
http://vocab.getty.edu/ulan/500000208,British (modern),male,1847,1911,,
http://vocab.getty.edu/ulan/500000210,American (North American),female,1910,2012,Galesburg,
http://vocab.getty.edu/ulan/500000211,Austrian,male,1661,1711,,
http://vocab.getty.edu/ulan/500000212,"German (culture, style, period)",male,1733,1802,,
http://vocab.getty.edu/ulan/500000213,American (North American),male,1800,1887,,
http://vocab.getty.edu/ulan/500000219,Dutch (culture or style),male,1623,1682,Haarlem,Amsterdam
http://vocab.getty.edu/ulan/500000221,"German (culture, style, period)",male,1863,1945,Karlsruhe,
http://vocab.getty.edu/ulan/500000225,British (modern),male,1809,1894,,
http://vocab.getty.edu/ulan/500000228,British (modern),male,1816,1897,,
http://vocab.getty.edu/ulan/500000229,British (modern),male,1832,1889,Brighton,
http://vocab.getty.edu/ulan/500000231,French (culture or style),male,1687,1767,Paris,Paris
http://vocab.getty.edu/ulan/500000233,Italian (culture or style),male,1661,1725,,
http://vocab.getty.edu/ulan/500000237,Italian (culture or style),male,1912,2000,,
http://vocab.getty.edu/ulan/500000241,Flemish (culture or style),male,1650,1750,,
http://vocab.getty.edu/ulan/500000246,Italian (culture or style),male,1420,1497,,
http://vocab.getty.edu/ulan/500000247,Spanish (culture or style),male,1621,1670,,
http://vocab.getty.edu/ulan/500000249,Italian (culture or style),male,1639,1702,,
http://vocab.getty.edu/ulan/500000253,British (modern),male,1853,1922,London,London
http://vocab.getty.edu/ulan/500000254,British (modern),male,1788,1833,Durham,London
http://vocab.getty.edu/ulan/500000255,Italian (culture or style),male,1387,1487,,
http://vocab.getty.edu/ulan/500000256,British (modern),male,1829,1915,,London
http://vocab.getty.edu/ulan/500000258,British (modern),male,1822,1922,,
http://vocab.getty.edu/ulan/500000259,Czech (culture or style),male,1885,1946,,
http://vocab.getty.edu/ulan/500000260,British (modern),male,1810,1910,,
http://vocab.getty.edu/ulan/500000261,"German (culture, style, period)",male,1697,1765,Regensburg,Regensburg
http://vocab.getty.edu/ulan/500000265,British (modern),male,1832,1893,,
http://vocab.getty.edu/ulan/500000266,British (modern),male,1812,1908,Greenwich,Great Missenden
http://vocab.getty.edu/ulan/500000267,French (culture or style),male,1612,1695,,Paris
http://vocab.getty.edu/ulan/500000269,British (modern),female,1885,1957,Cambridge,
http://vocab.getty.edu/ulan/500000270,French (culture or style),male,1833,1891,,
http://vocab.getty.edu/ulan/500000271,British (modern),male,1818,1872,,London
http://vocab.getty.edu/ulan/500000272,British (modern),male,1700,1786,,
http://vocab.getty.edu/ulan/500000273,French (culture or style),male,1737,1800,,
http://vocab.getty.edu/ulan/500000276,British (modern),male,1870,1926,Edinburgh,Musselburgh
http://vocab.getty.edu/ulan/500000278,"German (culture, style, period)",male,1796,1867,,
http://vocab.getty.edu/ulan/500000279,British (modern),male,1829,1896,York,Kensington
http://vocab.getty.edu/ulan/500000281,Italian (culture or style),male,1520,1590,,
http://vocab.getty.edu/ulan/500000283,British (modern),male,1800,1870,,
http://vocab.getty.edu/ulan/500000286,Italian (culture or style),male,1536,1615,,
http://vocab.getty.edu/ulan/500000287,Italian (culture or style),male,1799,1874,,
http://vocab.getty.edu/ulan/500000289,British (modern),male,1824,1914,,
http://vocab.getty.edu/ulan/500000291,British (modern),male,1869,1941,Edinburgh,Edinburgh
http://vocab.getty.edu/ulan/500000293,American (North American),female,1854,1948,New York,New York
http://vocab.getty.edu/ulan/500000294,Netherlandish,male,1592,1680,,
http://vocab.getty.edu/ulan/500000295,American (North American),male,1929,1999,New York,New York
http://vocab.getty.edu/ulan/500000298,Italian (culture or style),male,1300,1362,,
http://vocab.getty.edu/ulan/500000299,Dutch (culture or style),male,1776,1857,Dordrecht,
http://vocab.getty.edu/ulan/500000300,British (modern),male,1730,1775,,
http://vocab.getty.edu/ulan/500000301,British (modern),male,1806,1906,,
http://vocab.getty.edu/ulan/500000307,American (North American),male,1788,1819,,
http://vocab.getty.edu/ulan/500000310,British (modern),male,1802,1862,London,London
http://vocab.getty.edu/ulan/500000315,American (North American),male,1831,1913,Durham,New York
http://vocab.getty.edu/ulan/500000317,French (culture or style),male,1764,1846,Paris,
