person,allNames,institution,ULAN_ID,VIAF_ID,WIKIDATA_ID,GND_ID,group_type
,"Walther, Johann Jakob",frick,,100294006,,,VIAF
,"Girolamo Imparato | Imparato, Girolamo",frick,,100467773,,,VIAF
,Unknown / Anonymous,midas,,,,1012154114,GND
,Unknown / Anonymous,midas,,,,1012177548,GND
,Unknown / Anonymous,midas,,,,1012263819,GND
,Unknown / Anonymous,midas,,,,1012281949,GND
,Unknown / Anonymous,midas,,,,1012286878,GND
,Unknown / Anonymous,midas,,,,1012288439,GND
,Unknown / Anonymous,midas,,,,1012293033,GND
,Unknown / Anonymous,midas,,,,1012302148,GND
,Unknown / Anonymous,midas,,,,101234973X,GND
,Unknown / Anonymous,midas,,,,1012364437,GND
,Unknown / Anonymous,midas,,,,1012370763,GND
,Unknown / Anonymous,midas,,,,1012371271,GND
,Unknown / Anonymous,midas,,,,101237128X,GND
,Unknown / Anonymous,midas,,,,1012383512,GND
,Unknown / Anonymous,midas,,,,1012399427,GND
,Unknown / Anonymous,midas,,,,1012405036,GND
,Anonymus | Anonymus Fabriczy,midas,,101253512,,,VIAF
,Unknown / Anonymous,midas,,,,1012559106,GND
,Unknown / Anonymous,midas,,,,1012576965,GND
,Unknown / Anonymous,midas,,,,1012585018,GND
,Unknown / Anonymous,midas,,,,1012720837,GND
,Unknown / Anonymous,midas,,,,1012797651,GND
,"Bellers, William | William Bellers",frick,,101444193,,,VIAF
,"Antonio de Romanis | De Romanis, Antonio | DeRomanis, Antonio",midas,,10148147681496811307,,,VIAF
,"Achille Paris | Paris, Achille",midas,,10162116000402112654,,,VIAF
,"Odening, Will",midas,,10163567886016382820,,,VIAF
,"Aquila, Carlo dall' | Carlo dall Aquila | Carlo dall'Aquila | Carlo, dall'Aquila",midas,,10169627940082860182,,,VIAF
,"Hans Philipp Langenhan | Langenhahn, Hans Philipp | Langenhan, Hans Philipp",midas,,1017151778202618130007,,,VIAF
,Unknown / Anonymous,midas,,,,1019740655,GND
,Unknown / Anonymous,midas,,,,102034141,GND
,"Buceti, Giuseppe | Giuseppe Buceti",midas,,102413956,,,VIAF
,Unknown / Anonymous,midas,,,,102442491X,GND
,Rinaldo | Rinaldo de Taranto,midas,,102556775,,,VIAF
,"Baertls, Joseph Anton | Joseph Anton Baertls",midas,,102723190,,,VIAF
,Unknown / Anonymous,midas,,,,1029694745,GND
