nationality,count
Italian (culture or style),5655
"German (culture, style, period)",4509
British (modern),4310
French (culture or style),2708
American (North American),1859
Dutch (culture or style),1204
Flemish (culture or style),623
Austrian,609
Spanish (culture or style),608
Swiss,519
Belgian (modern),233
Netherlandish,194
Russian (culture or style),156
Danish (culture or style),143
Irish,138
Greek (modern),123
Polish (culture),110
Czech (culture or style),109
Swedish (culture or style),98
Hungarian,75
Canadian,71
Norwegian (culture),65
Australian,60
Ancient Greek (culture or style),57
Mexican,41
Bohemian,36
Japanese (culture or style),36
Portuguese (culture or style),36
Indian (South Asian),28
Argentine,17
South Netherlandish,16
Brazilian,15
Bolognese,15
Chilean,14
Israeli,12
Cuban,12
Roman (modern culture),12
Croatian (culture or style),12
Peruvian,12
Finnish (culture or style),11
North Netherlandish,11
Romanian (culture or style),10
Estonian (culture or style),9
Ukrainian (culture or style),8
New Zealand,7
South African,7
Puerto Rican,6
Turkish (culture or style),5
Bavarian (culture or style),5
Chinese (culture or style),5
Silesian,5
Maltese (culture or style),4
Etruscan (culture or style),4
Persian (culture),4
Bolivian,4
English (culture or style),4
Lithuanian (culture or style),4
Ecuadorian,4
Dalmatian (culture or style),4
Colombian,3
Attic (culture),3
Uruguayan,3
Prussian,3
"Venetian (Republic, culture or style)",3
Native American,3
Guatemalan,3
Central European,3
Luxembourgeois (culture or style),3
Egyptian (modern),2
Albanian (culture or style),2
Palestinian,2
Moravian (Protestantism),2
Slovene (culture or style),2
Bulgar,2
European,1
Icelandic (culture or style),1
Iranian,1
Scottish,1
Turka,1
Ottoman (style),1
Arabian (culture),1
Latvian (culture or style),1
Korean (culture or style),1
Algerian,1
Armenian (modern),1
Bosnian (culture or style),1
Georgian (West Asian style),1
Slovak (culture or style),1
British Columbian,1
Tyrolean,1
Imperial (Roman),1
Indonesian,1
Burgundian (Migration culture or style),1
Jamaican,1
Florentine,1
Moldovan (culture or style),1
Northern European,1
Byzantine (culture and style),1
South Korean,1
Venezuelan,1
Early Netherlandish,1
Catalan (culture or style),1
Russian-American (culture),1
Papua New Guinean,1
