decade,gender,count
1300,male,32
1300,unidentified,2
1310,male,37
1320,male,40
1330,male,30
1340,male,34
1340,unidentified,1
1350,male,39
1350,unidentified,3
1360,male,51
1360,unidentified,2
1370,male,67
1370,unidentified,4
1380,male,46
1380,unidentified,4
1390,male,59
1390,unidentified,5
1400,male,89
1400,unidentified,6
1410,female,1
1410,male,106
1410,unidentified,5
1420,male,115
1430,male,123
1430,unidentified,5
1440,male,149
1440,unidentified,5
1450,male,196
1450,unidentified,9
1460,male,204
1460,unidentified,6
1470,female,1
1470,male,267
1470,unidentified,10
1480,male,202
1480,unidentified,6
1490,female,1
1490,male,184
1490,unidentified,2
1500,male,242
1500,unidentified,7
1510,male,174
1510,unidentified,1
1520,female,4
1520,male,212
1520,unidentified,1
1530,female,2
1530,male,200
1530,unidentified,1
1540,female,2
1540,male,203
1540,unidentified,4
1550,female,4
1550,male,224
1550,unidentified,3
1560,female,2
1560,male,240
1560,unidentified,1
1570,female,3
1570,male,305
1570,unidentified,4
1580,female,1
1580,male,271
1590,female,5
1590,male,298
1590,unidentified,1
1600,female,7
1600,male,374
1600,unidentified,6
1610,female,2
1610,male,363
1610,unidentified,2
1620,female,4
1620,male,411
1620,unidentified,9
1630,female,6
1630,male,357
1630,unidentified,5
1640,female,8
1640,male,339
1640,unidentified,5
1650,female,6
1650,male,335
1650,unidentified,8
1660,female,5
1660,male,322
1660,unidentified,8
1670,female,8
1670,male,367
1670,unidentified,11
1680,female,5
1680,male,314
1680,unidentified,8
1690,female,4
1690,male,363
1690,unidentified,3
1700,female,10
1700,male,407
1700,unidentified,4
1710,female,4
1710,male,400
1710,unidentified,5
1720,female,11
1720,male,424
1720,unidentified,8
1730,female,10
1730,male,503
1730,unidentified,6
1740,female,18
1740,male,542
1740,unidentified,10
1750,female,14
1750,male,548
1750,unidentified,12
1760,female,20
1760,male,475
1760,unidentified,14
1770,female,30
1770,male,495
1770,unidentified,31
1780,female,16
1780,male,564
1780,unidentified,14
1790,female,30
1790,male,617
1790,unidentified,11
1800,female,20
1800,male,923
1800,unidentified,49
1810,female,19
1810,male,966
1810,unidentified,57
1820,female,19
1820,male,913
1820,unidentified,41
1830,female,35
1830,male,782
1830,unidentified,42
1840,female,56
1840,male,929
1840,unidentified,30
1850,female,60
1850,male,915
1850,unidentified,60
1860,female,59
1860,male,910
1860,unidentified,54
1870,female,77
1870,male,779
1870,unidentified,36
1880,female,47
1880,male,791
1880,unidentified,25
1890,female,78
1890,male,619
1890,unidentified,20
1900,female,51
1900,male,521
1900,unidentified,17
1910,female,22
1910,male,253
1910,unidentified,4
1920,female,10
1920,male,186
1920,unidentified,3
1930,female,11
1930,male,160
1930,unidentified,1
1940,female,17
1940,male,101
1940,unidentified,3
1950,female,6
1950,male,52
1950,unidentified,2
